2024-09-11 09:04:39 [INFO]: Server is running on port 5000
2024-09-11 09:04:39 [INFO]: MongoDB conectado com sucesso!
2024-09-11 09:04:43 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:04:43 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:04:43 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:04:43 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:05:31 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:05:31 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:05:31 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:05:31 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:05:57 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:05:57 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:05:57 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:05:57 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:07 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:07 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:07 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:07 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:25 [INFO]: Server is running on port 5000
2024-09-11 09:08:25 [INFO]: MongoDB conectado com sucesso!
2024-09-11 09:08:28 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:28 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:28 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:28 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:31 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:31 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:31 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:31 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:46 [INFO]: Server is running on port 5000
2024-09-11 09:08:46 [INFO]: MongoDB conectado com sucesso!
2024-09-11 09:08:50 [INFO]: Server is running on port 5000
2024-09-11 09:08:50 [INFO]: MongoDB conectado com sucesso!
2024-09-11 09:08:50 [INFO]: IP: ::ffff:10.92.199.9 - GET /api/user/company/vacancy/list-vacancies
2024-09-11 09:08:50 [WARN]: Token de autenticação não fornecido.
